Pop,IndID,Cap,Brac_RowNr,SerBrac_RowNr,Brac_appress,Brac_Color,SerBrac_yes_no,Brac_Len,Brac_Wid,BracApCen_Len,BracApCen_Wid
FP,9,2,9,8,2,1,yes,234.93,92.01,51.04,54.04
FP,10,1,7,5,1,2,yes,194.02,104.17,69.01,54.08
FP,10,2,7,4,1,2,yes,229.68,98.86,69.46,61.98
WR,2,1,6,6,2,2,yes,245.7,89.33,74.11,60.13
WR,11,1,9,9,1,2,yes,220.08,63.18,53.35,30.67
WR,17,2,7,7,2,2,yes,204,73.38,54.68,41.33
WR,21b,2,8,6,2,1,yes,325.34,68.99,88.53,56.57
WR,3,1,7,7,3,2,yes,269.89,60.72,58.91,44.08
WR,4,1,7,7,1,2,yes,184.39,82.42,53.4,54.93
WR,6b,1,6,6,2,2,yes,197.7,102.74,57.4,62.67
WR,R,1,8,8,2,1,yes,260.02,86.92,76.92,49.62
WR,X,1,8,8,2,2,yes,215.08,115.97,58.67,50.68
WR,Z,2,9,7,2,2,yes,257.99,82.65,60.37,53.6
SP,1,1,8,7,2,2,yes,252.53,82.99,37.71,26.67
SP,14,1,7,7,2,1,yes,278.18,118.49,46.28,39.64
SP,18,1,10,10,2,2,yes,303.33,83.35,47.59,33.44
SP,1B,1,7,4,3,2,yes,259.48,98.86,60.24,46.74
SP,20,2,7,7,1,1,yes,191.13,65.46,62.04,40.79
SP,3B,1,8,8,2,2,yes,227.54,73.38,41.35,30.78
SP,4,2,9,9,2,2,yes,284.05,83.05,61.35,46.67
SP,4B,1,6,6,2,2,yes,278.67,98.81,74.71,52.02
SP,6B,1,5,4,2,2,yes,213.44,90.68,61.39,49.35
SP,7B,1,6,6,3,3,yes,231.64,90.75,49.41,56.06
JV,1,1,8,3,1,2,no,149.93,69.54,45.35,28.72
JV,11,1,8,8,2,2,yes,267.9,118.34,57.84,44.72
JV,12,1,9,2,1,2,no,223.15,107.55,47.7,42.94
JV,13,1,9,7,2,3,yes,432.83,183.1,107.54,86.38
JV,15,1,11,3,1,2,no,224.34,103.55,49.62,54
JV,17,1,10,4,2,2,no,222.24,85.05,66.2,49.62
JV,20,1,7,2,2,2,no,180.48,70.86,42.37,28.78
JV,3,1,10,5,2,2,yes,266.81,96.08,44.08,38.69
JV,6,1,8,5,2,2,yes,233.53,108,76.74,56.06
JV,9,1,10,7,2,2,yes,219.29,67.32,51.03,38.76
LH,1,1,8,8,1,1,yes,226.75,78.47,60.01,37.55
LH,10,1,7,3,2,2,no,188.08,99.39,77.52,28
LH,13,1,7,7,2,1,yes,164.91,62.67,57.47,34.69
LH,14,1,8,2,1,1,no,199.54,59.9,47.29,32.25
LH,18,1,8,4,1,3,yes,242.86,74.71,45.27,42.85
